"indexbrawddeg","yfrawddeg","numberunits","valueunits","mediumval","rel_mediumval","mediumval_sq","rel_mediumval_sq","mediumval_nusq","rel_mediumval_nusq","mediumval_sq_nusq","rel_mediumval_sq_nusq","mediumval_hnu","rel_mediumval_hnu","mediumval_sq_hnu","rel_mediumval_sq_hnu","finished","tagref","tagcategory","tagfunction"
"1"," Pwyll Pendeuic Dyuet a oed yn arglwyd ar seith cantref Dyuet","11","0.161353","0.0146685","0.071712","0.00236681","0.0565687","0.0013335","0.00651927","0.000215165","0.00514261","0.0000000910798","0.000000445275","0.000000014696","0.000000351247","1",,,
"2"," A threigylgweith yd oed yn Arberth, prif lys idaw, a dyuot yn y uryt ac yn y uedwl uynet y hela","21","0.626233","0.0298206","0.145775","0.0186747","0.44626","0.00142003","0.00694169","0.00088927","0.0212505","0.00000000730164","0.0000000356934","0.00000000457253","0.000000109268","1",,,
"3"," Sef kyueir o y gyuoeth a uynnei y hela, Glynn Cuch","11","0.324916","0.0295378","0.144385","0.00959729","0.229318","0.00268525","0.0131259","0.000872481","0.0208471","0.000000183406","0.000000896519","0.0000000595916","0.00000142388","1",,,
"4"," Ac ef a gychwynnwys y nos honno o Arberth, ac a doeth hyt ym Penn Llwyn Diarwya, ac yno y bu y nos honno","24","0.645352","0.0268896","0.131446","0.0173533","0.414674","0.0011204","0.00547692","0.000723053","0.0172781","0.00000000337698","0.0000000165079","0.00000000217934","0.0000000520775","1",,,
"5"," A thrannoeth yn ieuengtit y dyd kyuodi a oruc, a dyuot y Lynn Cuch i ellwng e gwn dan y coet","21","0.65172","0.0310343","0.151706","0.0202257","0.48331","0.00147782","0.0072241","0.000963127","0.0230148","0.00000000759881","0.0000000371456","0.0000000049523","0.000000118339","1",,,
"6"," A chanu y gorn a dechreu dygyuor yr hela, a cherdet yn ol y cwn, ac ymgolli a y gydymdeithon","20","0.769993","0.0384996","0.188204","0.0296445","0.708412","0.00192498","0.00941018","0.00148222","0.0354206","0.0000000120311","0.0000000588136","0.00000000926389","0.000000221379","1",,,
"7"," Ac ual y byd yn ymwarandaw a llef yr erchwys, ef a glywei llef erchwys arall, ac nit oedynt unllef, a hynny yn dyuot yn erbyn y erchwys ef","29","0.700264","0.024147","0.118045","0.0169093","0.404105","0.000832656","0.00407052","0.000583079","0.0139347","0.00000000117726","0.00000000575517","0.000000000824395","0.0000000197017","1",,,
"8"," Ac ef a welei lannerch yn y coet o uaes guastat; ac ual yd oed y erchwys ef yn ymgael ac ystlys y llannerch, ef a welei carw o ulaen yr erchwys arall","33","0.759048","0.0230014","0.112441","0.0174592","0.41722","0.000697014","0.00340731","0.000529066","0.012643","0.00000000058774","0.00000000287313","0.000000000446123","0.0000000106609","1",,,
"9"," A pharth a pherued y llannerch, llyma yr erchwys a oed yn y ol yn ymordiwes ac ef, ac yn y uwrw y r llawr","25","0.889448","0.0355779","0.173919","0.0316447","0.756194","0.00142312","0.00695675","0.00126579","0.0302477","0.00000000364318","0.0000000178093","0.00000000324042","0.0000000774342","1",,,
"10"," Ac yna edrych ohonaw ef ar liw yr erchwys, heb hanbwyllaw edrych ar y carw","15","0.209552","0.0139701","0.0682878","0.00292747","0.0699484","0.000931343","0.00455252","0.000195165","0.00466323","0.0000000183969","0.0000000899263","0.00000000385511","0.0000000921131","1",,,
"11"," Ac o r a welsei ef o helgwn y byt, ny welsei cwn un lliw ac wynt","17","0.341473","0.0200867","0.0981927","0.00685906","0.163911","0.00118157","0.00577604","0.000403474","0.0096418","0.000000014147","0.0000000691567","0.00000000483081","0.000000115442","1",,,
"12"," Sef lliw oed arnunt, claerwyn llathreit, ac eu clusteu yn gochyon","11","0.0641099","0.00582817","0.0284959","0.000373644","0.0089322","0.000529834","0.00259054","0.0000339676","0.000812018","0.0000000361884","0.000000176937","0.00000000232003","0.0000000554619","1",,,
"13"," Ac ual y llthrei wynnet y cwn, y llathrei cochet y clusteu","12","0.439156","0.0365963","0.17888","0.0160715","0.383975","0.00304969","0.0149066","0.00133929","0.0319979","0.000000147072","0.000000718877","0.0000000645876","0.00000154311","1",,,
"14"," Ac ar hynny at y cwn y doeth ef, a gyrru yr erchwys a ladyssei y carw e ymdeith, a llithyaw y erchwys e hunan ar y carw","28","0.916987","0.0327495","0.160088","0.0300309","0.717588","0.00116963","0.00571743","0.00107253","0.0256281","0.0000000019029","0.00000000930183","0.00000000174493","0.0000000416951","1",,,
"15"," Ac ual y byd yn llithiau y cwn, ef a welei uarchauc yn dyuot yn ol yr erchwys y ar uarch erchlas mawr; a chorn canu am y uynwgyl, a gwisc o urethyn llwyt tei amdanaw yn wisc hela","39","0.903336","0.0231625","0.113228","0.0209235","0.500002","0.00059391","0.00290328","0.0005365","0.0128206","0.000000000256721","0.00000000125496","0.000000000231906","0.00000000554178","1",,,
"16"," Ac ar hynny y marchawc a doeth attaw ef, a dywedut ual hynn wrthaw, A unben, heb ef, mi a wnn pwy wytti, ac ny chyuarchaf i well it","29","0.670541","0.0231221","0.113035","0.0155043","0.37053","0.000797314","0.00389776","0.000534632","0.0127769","0.00000000112729","0.00000000551091","0.000000000755897","0.0000000180648","1",,,
"17"," Ie, heb ef, ac atuyd y mae arnat o anryded ual nas dylyei","13","0.197574","0.015198","0.0742894","0.00300273","0.0717459","0.00116908","0.00571457","0.000230979","0.00551891","0.0000000409326","0.000000200083","0.00000000808722","0.000000193233","1",,,
"18"," Dioer, heb ef, nyt teilygdawt uy anryded a m etteil am hynny","12","0.163266","0.0136055","0.0665095","0.00222131","0.0530822","0.00113379","0.00554246","0.000185109","0.00442352","0.0000000546774","0.000000267287","0.00000000892695","0.000000213325","1",,,
"19"," A unben, heb ynteu, beth amgen?","6","0.13191","0.021985","0.107474","0.00290005","0.0693033","0.00366417","0.0179123","0.000483341","0.0115506","0.00000282729","0.0000138212","0.000000372948","0.00000891246","1",,,
"20"," Y rof i a Duw, hep ynteu, dy anwybot dy hun a th ansyberwyt","14","0.339294","0.0242353","0.118473","0.0082229","0.196502","0.00173109","0.00846235","0.00058735","0.0140358","0.0000000450618","0.000000220282","0.0000000152892","0.000000365364","1",,,
"21"," Pa ansyberwyt, unben, a weleist ti arnaf i?","8","0.118147","0.0147684","0.0721984","0.00174485","0.0417008","0.00184605","0.0090248","0.000218107","0.00521261","0.000000450697","0.00000220332","0.0000000532487","0.00000127261","1",,,
"22"," Ny weleis ansyberwyt uwy ar wr, hep ef, no gyrru yr erchwys a ladyssei y carw e ymdeith, a llithiau dy erchwys dy hun arnaw; hynny, hep ef, ansyberwyt oed, a chyn nyt ymdialwyf a thi, y rof i a Duw, hep ef, mi a wnaf o anglot itt guerth can carw","52","0.977848","0.0188048","0.0919276","0.0183882","0.439436","0.00036163","0.00176784","0.000353619","0.00845069","0.0000000000494597","0.000000000241785","0.0000000000483641","0.00000000115579","1",,,
"23"," A unbenn, hep ef, o gwneuthum gam, mi a brynaf dy gerennyd","12","0.246873","0.0205727","0.100575","0.00507884","0.121383","0.00171439","0.00838123","0.000423237","0.0101153","0.0000000826772","0.000000404187","0.0000000204107","0.000000487813","1",,,
"24"," Pa delw, hep ynteu, y pryny di?","7","0.115238","0.0164626","0.0804662","0.00189711","0.0453236","0.0023518","0.0114952","0.000271016","0.0064748","0.000000979507","0.00000478766","0.000000112876","0.00000269671","1",,,
"25"," Vrth ual y bo dy anryded, ac ny wnn i pwy wytti","12","0.157044","0.013087","0.0639721","0.00205524","0.0491091","0.00109059","0.00533101","0.00017127","0.00409243","0.0000000525938","0.000000257089","0.00000000825956","0.000000197359","1",,,
"26"," Brenhin corunawc wyf i yn y wlat yd hanwyf oheni","10","0.144172","0.0144172","0.0704723","0.00207856","0.0496635","0.00144172","0.00704723","0.000207856","0.00496635","0.000000144172","0.000000704723","0.0000000207856","0.000000496635","1",,,
"27"," Arglwyd, heb ynteu, dyd da itt; a pha wlat yd hanwyt titheu oheni?","13","0.148097","0.0113921","0.0556899","0.00168713","0.0403177","0.000876312","0.00428383","0.000129779","0.00310136","0.0000000306821","0.000000149989","0.00000000454393","0.000000108587","1",,,
"28"," O Annwuyn, heb ynteu","4","0.04805","0.0120125","0.0587142","0.000577201","0.0137895","0.00300313","0.0146786","0.0001443","0.00344736","0.000011731","0.0000573381","0.000000563672","0.0000134663","1",,,
"29"," Arawn urenhin Annwuyn wyf i","5","0.013639","0.0027278","0.0133328","0.0000372045","0.000888818","0.00054556","0.00266656","0.00000744089","0.000177764","0.000000872896","0.0000042665","0.0000000119054","0.000000284422","1",,,
"30"," Arglwyd, heb ynteu, pa furyf y caf i dy gerennyd di?","11","0.158955","0.0144504","0.0706307","0.00229697","0.0548757","0.00131368","0.00642098","0.000208815","0.0049887","0.0000000897258","0.000000438561","0.0000000142624","0.000000340735","1",,,
"31"," Llyma wyd y kyffy, heb ynteu","6","0.133335","0.0222225","0.108617","0.00296304","0.0707862","0.00370375","0.0181029","0.000493839","0.0117977","0.00000285783","0.0000139683","0.000000381049","0.00000910316","1",,,
"32"," Gwr yssyd gyuerbyn y gyuoeth a m kyuoeth inheu yn ryuelu arnaf yn wastat","14","0.25773","0.0184093","0.0899938","0.00474463","0.113384","0.00131495","0.00642813","0.000338902","0.00809889","0.0000000342292","0.000000167329","0.0000000088219","0.000000210821","1",,,
