"termindex","term","absolute_frequency","relative_frequency"
"1","y","797","0.1016"
"2","a","780","0.09941"
"3","ac","220","0.02804"
"4","heb","188","0.02396"
"5","yn","181","0.02307"
"6","ef","146","0.01861"
"7","r","139","0.01772"
"8","o","130","0.01657"
"9","ar","82","0.01045"
"10","i","79","0.01007"
"11","yr","79","0.01007"
"12","hynny","73","0.009304"
"13","pwyll","72","0.009177"
"14","oed","64","0.008157"
"15","hi","56","0.007137"
"16","e","52","0.006628"
"17","ynteu","50","0.006373"
"18","yd","50","0.006373"
"19","mab","44","0.005608"
"20","dy","42","0.005353"
"21","ny","41","0.005226"
"22","mi","40","0.005098"
"23","arglwyd","39","0.004971"
"24","na","36","0.004588"
"25","idaw","34","0.004333"
"26","llys","33","0.004206"
"27","ti","32","0.004079"
"28","duw","31","0.003951"
"29","wnaeth","29","0.003696"
"30","got","29","0.003696"
"31","di","29","0.003696"
"32","am","28","0.003569"
"33","ni","28","0.003569"
"34","un","28","0.003569"
"35","wrth","27","0.003441"
"36","riannon","27","0.003441"
"37","ual","25","0.003186"
"38","yw","25","0.003186"
"39","teirnon","24","0.003059"
"40","nyt","24","0.003059"
"41","sef","23","0.002931"
"42","hwnnw","23","0.002931"
"43","doeth","23","0.002931"
"44","dyuot","20","0.002549"
"45","ulwydyn","19","0.002422"
"46","wreic","19","0.002422"
"47","gwr","19","0.002422"
"48","th","18","0.002294"
"49","penn","18","0.002294"
"50","yny","18","0.002294"
"51","gyt","18","0.002294"
"52","yna","18","0.002294"
"53","no","18","0.002294"
"54","hyt","18","0.002294"
"55","honno","18","0.002294"
"56","llawen","18","0.002294"
"57","pa","17","0.002167"
"58","oruc","17","0.002167"
"59","march","17","0.002167"
"60","ie","17","0.002167"
"61","dyuet","17","0.002167"
"62","uy","17","0.002167"
"63","m","17","0.002167"
"64","bu","17","0.002167"
"65","hitheu","16","0.002039"
"66","wynt","16","0.002039"
"67","oet","16","0.002039"
"68","uab","15","0.001912"
"69","hun","15","0.001912"
"70","nos","15","0.001912"
"71","yssyd","15","0.001912"
"72","phan","15","0.001912"
"73","parth","15","0.001912"
"74","uyd","15","0.001912"
"75","rof","14","0.001784"
"76","dechreu","14","0.001784"
"77","da","14","0.001784"
"78","uarch","14","0.001784"
"79","uu","13","0.001657"
"80","pawb","13","0.001657"
"81","wlat","13","0.001657"
"82","ym","12","0.001529"
"83","ymdidan","12","0.001529"
"84","blwydyn","12","0.001529"
"85","gan","12","0.001529"
"86","mae","12","0.001529"
"87","neb","12","0.001529"
"88","byd","12","0.001529"
"89","oes","12","0.001529"
"90","erchwys","12","0.001529"
"91","arglwydes","11","0.001402"
"92","gennyf","11","0.001402"
"93","eisted","11","0.001402"
"94","dyd","11","0.001402"
"95","ymi","11","0.001402"
"96","attep","10","0.001275"
"97","arnaw","10","0.001275"
